Swat_Edit (Swat Parameters Editor 2012) Version 2.5.3.33454

________________________________________________________________________________________________________________________________________________________________________________________________________


a__maxtemp(){2001001-2010365}.tmp1.tmp 0.5

Parameter: 'MAXTEMP(1)'  |  Value: { New: '11.5'  Original: '11'  Old: '11.0' }  |  File: 'tmp1.tmp'  |  Line: '4079'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '14.2'  Original: '13.7'  Old: '13.7' }  |  File: 'tmp1.tmp'  |  Line: '4079'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '23.7'  Original: '23.2'  Old: '23.2' }  |  File: 'tmp1.tmp'  |  Line: '4080'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '25.0'  Original: '24.5'  Old: '24.5' }  |  File: 'tmp1.tmp'  |  Line: '4080'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '19.0'  Original: '18.5'  Old: '18.5' }  |  File: 'tmp1.tmp'  |  Line: '4081'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '22.3'  Original: '21.8'  Old: '21.8' }  |  File: 'tmp1.tmp'  |  Line: '4081'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '19.3'  Original: '18.8'  Old: '18.8' }  |  File: 'tmp1.tmp'  |  Line: '4082'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '23.7'  Original: '23.2'  Old: '23.2' }  |  File: 'tmp1.tmp'  |  Line: '4082'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '20.0'  Original: '19.5'  Old: '19.5' }  |  File: 'tmp1.tmp'  |  Line: '4083'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '22.9'  Original: '22.4'  Old: '22.4' }  |  File: 'tmp1.tmp'  |  Line: '4083'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '18.9'  Original: '18.4'  Old: '18.4' }  |  File: 'tmp1.tmp'  |  Line: '4084'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '22.2'  Original: '21.7'  Old: '21.7' }  |  File: 'tmp1.tmp'  |  Line: '4084'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '20.5'  Original: '20'  Old: '20.0' }  |  File: 'tmp1.tmp'  |  Line: '4085'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '24.7'  Original: '24.2'  Old: '24.2' }  |  File: 'tmp1.tmp'  |  Line: '4085'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '21.3'  Original: '20.8'  Old: '20.8' }  |  File: 'tmp1.tmp'  |  Line: '4086'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '23.7'  Original: '23.2'  Old: '23.2' }  |  File: 'tmp1.tmp'  |  Line: '4086'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '24.9'  Original: '24.4'  Old: '24.4' }  |  File: 'tmp1.tmp'  |  Line: '4087'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '26.7'  Original: '26.2'  Old: '26.2' }  |  File: 'tmp1.tmp'  |  Line: '4087'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '18.5'  Original: '18'  Old: '18.0' }  |  File: 'tmp1.tmp'  |  Line: '4088'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '21.2'  Original: '20.7'  Old: '20.7' }  |  File: 'tmp1.tmp'  |  Line: '4088'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '12.7'  Original: '12.2'  Old: '12.2' }  |  File: 'tmp1.tmp'  |  Line: '4089'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '15.2'  Original: '14.7'  Old: '14.7' }  |  File: 'tmp1.tmp'  |  Line: '4089'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '17.0'  Original: '16.5'  Old: '16.5' }  |  File: 'tmp1.tmp'  |  Line: '4090'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '19.2'  Original: '18.7'  Old: '18.7' }  |  File: 'tmp1.tmp'  |  Line: '4090'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '15.3'  Original: '14.8'  Old: '14.8' }  |  File: 'tmp1.tmp'  |  Line: '4091'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '16.9'  Original: '16.4'  Old: '16.4' }  |  File: 'tmp1.tmp'  |  Line: '4091'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '15.0'  Original: '14.5'  Old: '14.5' }  |  File: 'tmp1.tmp'  |  Line: '4092'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '15.6'  Original: '15.1'  Old: '15.1' }  |  File: 'tmp1.tmp'  |  Line: '4092'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '21.8'  Original: '21.3'  Old: '21.3' }  |  File: 'tmp1.tmp'  |  Line: '4093'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '23.6'  Original: '23.1'  Old: '23.1' }  |  File: 'tmp1.tmp'  |  Line: '4093'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '21.2'  Original: '20.7'  Old: '20.7' }  |  File: 'tmp1.tmp'  |  Line: '4094'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '23.7'  Original: '23.2'  Old: '23.2' }  |  File: 'tmp1.tmp'  |  Line: '4094'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '26.3'  Original: '25.8'  Old: '25.8' }  |  File: 'tmp1.tmp'  |  Line: '4095'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '27.1'  Original: '26.6'  Old: '26.6' }  |  File: 'tmp1.tmp'  |  Line: '4095'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '23.7'  Original: '23.2'  Old: '23.2' }  |  File: 'tmp1.tmp'  |  Line: '4096'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '24.5'  Original: '24'  Old: '24.0' }  |  File: 'tmp1.tmp'  |  Line: '4096'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '21.0'  Original: '20.5'  Old: '20.5' }  |  File: 'tmp1.tmp'  |  Line: '4097'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '20.2'  Original: '19.7'  Old: '19.7' }  |  File: 'tmp1.tmp'  |  Line: '4097'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '27.9'  Original: '27.4'  Old: '27.4' }  |  File: 'tmp1.tmp'  |  Line: '4098'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '29.4'  Original: '28.9'  Old: '28.9' }  |  File: 'tmp1.tmp'  |  Line: '4098'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '21.9'  Original: '21.4'  Old: '21.4' }  |  File: 'tmp1.tmp'  |  Line: '4099'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '24.6'  Original: '24.1'  Old: '24.1' }  |  File: 'tmp1.tmp'  |  Line: '4099'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '17.5'  Original: '17'  Old: '17.0' }  |  File: 'tmp1.tmp'  |  Line: '4100'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '18.2'  Original: '17.7'  Old: '17.7' }  |  File: 'tmp1.tmp'  |  Line: '4100'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '18.2'  Original: '17.7'  Old: '17.7' }  |  File: 'tmp1.tmp'  |  Line: '4101'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '19.6'  Original: '19.1'  Old: '19.1' }  |  File: 'tmp1.tmp'  |  Line: '4101'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '26.5'  Original: '26'  Old: '26.0' }  |  File: 'tmp1.tmp'  |  Line: '4102'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '28.2'  Original: '27.7'  Old: '27.7' }  |  File: 'tmp1.tmp'  |  Line: '4102'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '25.8'  Original: '25.3'  Old: '25.3' }  |  File: 'tmp1.tmp'  |  Line: '4103'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '28.2'  Original: '27.7'  Old: '27.7' }  |  File: 'tmp1.tmp'  |  Line: '4103'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '27.2'  Original: '26.7'  Old: '26.7' }  |  File: 'tmp1.tmp'  |  Line: '4104'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '28.9'  Original: '28.4'  Old: '28.4' }  |  File: 'tmp1.tmp'  |  Line: '4104'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '29.2'  Original: '28.7'  Old: '28.7' }  |  File: 'tmp1.tmp'  |  Line: '4105'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '30.0'  Original: '29.5'  Old: '29.5' }  |  File: 'tmp1.tmp'  |  Line: '4105'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '24.0'  Original: '23.5'  Old: '23.5' }  |  File: 'tmp1.tmp'  |  Line: '4106'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '25.1'  Original: '24.6'  Old: '24.6' }  |  File: 'tmp1.tmp'  |  Line: '4106'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '20.2'  Original: '19.7'  Old: '19.7' }  |  File: 'tmp1.tmp'  |  Line: '4107'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '22.8'  Original: '22.3'  Old: '22.3' }  |  File: 'tmp1.tmp'  |  Line: '4107'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '18.0'  Original: '17.5'  Old: '17.5' }  |  File: 'tmp1.tmp'  |  Line: '4108'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '20.4'  Original: '19.9'  Old: '19.9' }  |  File: 'tmp1.tmp'  |  Line: '4108'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '21.2'  Original: '20.7'  Old: '20.7' }  |  File: 'tmp1.tmp'  |  Line: '4109'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '24.1'  Original: '23.6'  Old: '23.6' }  |  File: 'tmp1.tmp'  |  Line: '4109'
Parameter: 'MAXTEMP(1)'  |  Value: { New: '19.8'  Original: '19.3'  Old: '19.3' }  |  File: 'tmp1.tmp'  |  Line: '4110'
Parameter: 'MAXTEMP(2)'  |  Value: { New: '22.5'  Original: '22'  Old: '22.0' }  |  File: 'tmp1.tmp'  |  Line: '4110'
